symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,xlarge_inflow,xlarge_outflow,xlarge_net_inflow,large_inflow,large_outflow,large_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,xlarge_net_flow_ratio,large_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0481,2026-09-01T00:00:00Z,4372851,4401222,4415988,4372195,4369791,31431,0.72,31126493,47237349872,2.15,1.14,0.00,0,16139791,14986702,2592293600000,2103869184000,946246656,4050626240,3733598144,317028096,10335351808,9706133248,629218560,14852739840,14856118016,-3378176,16953141248,17801269760,-848128512,2.00,0.67,1.33,-0.01,-1.80,0,280,173,97,10,0,0,27.25,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0482,2026-09-01T00:00:00Z,1670765,1723746,1726796,1670765,1666123,57623,3.46,24768533,12534104662,2.88,1.49,0.00,0,14337957,10430576,458382176000,434497536000,1375923344,1883137120,743287872,1139849248,2769356592,2533282496,236074096,3736648960,4008079792,-271430832,3916706032,5021198592,-1104492560,10.98,9.09,1.88,-2.17,-8.81,0,60,55,3,2,0,0,-18.72,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0484,2026-09-01T00:00:00Z,999852,1008634,1014907,998668,999660,8974,0.90,1986608,1318404453,1.08,1.00,0.00,0,1029245,957364,144197104000,143511408000,-38112842,52289727,52726649,-436922,216985280,254661200,-37675920,407837216,421521552,-13684336,618494160,566696992,51797168,-2.89,-0.03,-2.86,-1.04,3.93,0,14,10,2,2,0,0,18.82,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0485,2026-09-01T00:00:00Z,1465782,1491289,1498682,1465782,1463103,28186,1.93,7229371,7416580194,3.19,1.24,0.00,0,3816312,3413059,313337680000,287732576000,309950784,723102224,476514848,246587376,1699776672,1636413264,63363408,2386633568,2468463872,-81830304,2461613200,2689733680,-228120480,4.18,3.32,0.85,-1.10,-3.08,0,39,35,3,1,0,0,41.02,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0486,2026-09-01T00:00:00Z,980282,1002327,1006534,980282,976168,26159,2.68,71064722,76269408587,4.87,2.09,0.00,0,35228982,35835740,1472919264000,1351875200000,-465714432,10655736320,9773402112,882334208,17017847040,18365895680,-1348048640,22922093568,23656739328,-734645760,23058772224,21814464512,1244307712,-0.61,1.16,-1.77,-0.96,1.63,0,128,109,18,1,0,0,50.65,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0490,2026-09-01T00:00:00Z,7777045,7801666,7836750,7729598,7779799,21867,0.28,67789391,131564285246,2.20,1.07,0.00,0,33512044,34277347,5858759168000,5126817280000,-552793600,11565153024,11747211776,-182058752,28753373696,29124108544,-370734848,41953600256,41609558016,344042240,46225840384,45920587008,305253376,-0.42,-0.14,-0.28,0.26,0.23,0,428,239,182,7,0,0,75.02,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0492,2026-09-01T00:00:00Z,1143926,1153315,1164948,1143807,1148839,4476,0.39,42586881,42364353274,2.37,1.32,0.00,0,21052726,21534154,3114180128000,2680955712000,-1157601488,4213154096,4974184960,-761030864,9455401472,9851972096,-396570624,13166098944,13295644416,-129545472,14825951488,13523352832,1302598656,-2.73,-1.80,-0.94,-0.31,3.07,0,78,44,29,5,0,0,18.74,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0493,2026-09-01T00:00:00Z,1762325,1768712,1773712,1760866,1762350,6362,0.36,61831765,70904610102,1.42,0.96,0.00,0,30839455,30992311,6775420928000,4128198080000,-704082944,7288537344,6967928320,320609024,14546114048,15570806016,-1024691968,22692470528,22875374336,-182903808,25053024256,24138250496,914773760,-0.99,0.45,-1.45,-0.26,1.29,0,215,135,66,14,0,0,25.88,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0494,2026-09-01T00:00:00Z,1503911,1508977,1513920,1500514,1504029,4948,0.33,85787674,122882781975,2.09,1.09,0.00,0,42223585,43564089,5435561984000,4779040768000,622562048,17808011520,16045461760,1762549760,27938504192,29078491904,-1139987712,39444248320,41151396096,-1707147776,35629591040,34496931072,1132659968,0.51,1.43,-0.93,-1.39,0.92,0,422,254,157,11,0,0,35.57,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0498,2026-09-01T00:00:00Z,1167799,1191601,1193547,1167438,1173021,18580,1.58,30807461,22509566606,1.82,1.02,0.00,0,14759522,16047939,1289747024000,1054329968000,187770096,3244056784,3171725024,72331760,4437435648,4321997312,115438336,6771001600,6780529152,-9527552,7459932928,7638175488,-178242560,0.83,0.32,0.51,-0.04,-0.79,0,72,61,8,3,0,0,63.51,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0499,2026-09-01T00:00:00Z,935989,938753,941821,935311,937367,1386,0.15,114948339,247632713561,0.50,1.11,0.00,0,62779599,52168740,46598957056000,29796639744000,-3786927104,41112829952,42757425152,-1644595200,62307652864,64449984768,-2142331904,79413805056,79996645376,-582840320,61185873664,56816104448,4369769216,-1.53,-0.66,-0.87,-0.24,1.76,0,203,123,71,9,0,0,12.40,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0500,2026-09-01T00:00:00Z,1221440,1223292,1229126,1220758,1222164,1128,0.09,214869581,535708359911,0.64,1.10,0.00,0,112807928,102061653,69116604416000,52695122176000,-16823914496,88921182208,98102198272,-9181016064,139801583616,147444482048,-7642898432,167011074048,164742905856,2268168192,131024723968,116468973568,14555750400,-3.14,-1.71,-1.43,0.42,2.72,0,300,171,119,10,0,0,13.79,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0501,2026-09-01T00:00:00Z,2239520,2236285,2248443,2221082,2246367,-10082,-0.45,6633416,42980004920,5.37,0.87,0.00,0,2910011,3723405,7561007104000,680884352000,-3703168256,6833310720,9580981760,-2747671040,10975427072,11930924288,-955497216,14266600192,12721915392,1544684800,7741223680,5998230272,1742993408,-8.62,-6.39,-2.22,3.59,4.06,0,151,76,73,2,0,0,60.79,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
